¹;X2_1;Y2_1
1;-0,819909594;-0,819909594
2;-0,502035341;0,502035341
3;0,647447469;-0,647447469
4;0,429094042;0,429094042
5;-0,914622647;0,914622647
6;-0,419323922;0,419323922
7;-0,389344015;-0,389344015
8;-0,667925013;0,667925013
9;-0,627212673;0,627212673
10;-0,22543915;-0,22543915
11;-1,335032801;1,335032801
12;1,2362513;-1,2362513
13;0,590706046;0,590706046
14;-0,402794629;-0,402794629
15;0,471620127;-0,471620127
16;1,281097999;-1,281097999
17;-0,363047277;-0,363047277
18;0,827187473;0,827187473
19;0,580688593;-0,580688593
20;-1,073437379;-1,073437379
21;-0,408059825;-0,408059825
22;-2,201065516;2,201065516
23;-2,22289517;-2,22289517
24;0,068836386;-0,068836386
25;0,201816434;0,201816434
26;1,535126257;-1,535126257
27;-0,128018301;0,128018301
28;0,097187473;0,097187473
29;0,436674293;-0,436674293
30;1,063907671;1,063907671
31;-1,087870553;-1,087870553
32;0,522239202;-0,522239202
33;1,596157471;1,596157471
34;-1,898950315;-1,898950315
35;-0,344334205;0,344334205
36;1,733713999;1,733713999
37;0,563240366;0,563240366
38;-0,015189256;0,015189256
39;-0,34283641;-0,34283641
40;-0,803571351;-0,803571351
41;0,531712533;-0,531712533
42;1,221577179;-1,221577179
43;0,011425735;-0,011425735
44;1,213493819;1,213493819
45;-1,28826389;1,28826389
46;-0,272145582;0,272145582
47;-0,044562136;0,044562136
48;0,305224406;-0,305224406
49;0,469584336;0,469584336
50;0,924600793;0,924600793
51;-0,867585072;-0,867585072
52;0,245448194;0,245448194
53;-1,48092295;-1,48092295
54;0,337440703;0,337440703
55;0,09097695;-0,09097695
56;1,2796086;1,2796086
57;-0,655749014;-0,655749014
58;0,373140086;-0,373140086
59;0,690145102;0,690145102
60;-0,220730174;0,220730174
61;0,336479768;0,336479768
62;0,546612756;0,546612756
63;0,205301123;-0,205301123
64;-0,901816177;0,901816177
65;-0,68169453;-0,68169453
66;0,281515208;-0,281515208
67;-0,3861875;0,3861875
68;0,444098076;0,444098076
69;0,838084756;0,838084756
70;-1,711278198;1,711278198
71;-0,092613685;-0,092613685
72;0,624658518;-0,624658518
73;-0,347339809;0,347339809
74;-1,807587982;-1,807587982
75;1,419019395;-1,419019395
76;-0,814849312;-0,814849312
77;-0,489141826;0,489141826
78;-1,157573643;1,157573643
79;-0,465603824;0,465603824
80;0,253581473;0,253581473
81;-0,807930235;0,807930235
82;0,857604979;0,857604979
83;-0,108856914;0,108856914
84;0,071576684;0,071576684
85;0,78168861;-0,78168861
86;0,357336356;-0,357336356
87;0,984946985;-0,984946985
88;-1,183292202;-1,183292202
89;0,039100886;0,039100886
90;-1,135853381;-1,135853381
91;0,176725997;-0,176725997
92;-0,127266917;-0,127266917
93;-1,684904348;1,684904348
94;1,633233537;-1,633233537
95;0,966403626;-0,966403626
96;-0,625145489;0,625145489
97;0,178735882;0,178735882
98;-1,374068443;-1,374068443
99;0,63857251;-0,63857251
